Tabla 3.2;;;;;
;;N° medida;Prototipo [dB];Decibel X [dB];Error [%]
;Ambiente poco ruidoso ;1;23,74;24,6;3,50
;;2;25,89;24,4;6,11
;;3;28,46;24,7;15,22
;;4;25,86;28;7,64
;;5;23,58;25;5,68
;;6;22,96;24,7;7,04
;;7;24,12;24,7;2,35
;;8;25,28;24,3;4,03
;;9;19,8;25;20,80
;;10;24,21;24,4;0,78
;;;;Error promedio;7,32
;;;;;
;;;;;
;;;;;
Tabla 3.3;;;;;
;;N° medida;Prototipo [lux];Luxometro [lux];Error [%]
;Vivienda dormitorio;1;125,83;144;12,62
;;2;126,67;137;7,54
;;3;124,17;127;2,23
;;4;121,67;123;1,08
;;5;120,83;122;0,96
;;6;120,83;122;0,96
;;7;120;121;0,83
;;8;120;121;0,83
;;9;120;119;0,84
;;10;120;120;0,00
;;;;Error promedio;2,79
;;;;;
;;;;;
;;;;;
Tabla 3.4;;;;;
;;N° medida;Prototipo [dB];Decibel X [dB];Error [%]
;Ambiente ruidoso ;1;62,19;56,9;9,30
;;2;60,81;58,4;4,13
;;3;61,6;60,2;2,33
;;4;44,97;48,1;6,51
;;5;60,17;59,9;0,45
;;6;41,87;52,5;20,25
;;7;61,55;58,6;5,03
;;8;60,62;60,3;0,53
;;9;42,61;44;3,16
;;10;60,98;58,8;3,71
;;;;Error promedio;5,54
;;;;;
;;;;;
;;;;;
Tabla 3.5;;;;;
;;N° medida;Prototipo [lux];Luxometro [lux];Error [%]
;Vivienda dormitorio;1;609,17;608;0,19
;;2;601,67;600;0,28
;;3;603,33;601;0,39
;;4;605,83;603;0,47
;;5;608,33;606;0,38
;;6;610;608;0,33
;;7;611,67;611;0,11
;;8;612,5;612;0,08
;;9;612,5;611;0,25
;;10;612,5;614;0,24
;;;;Error promedio;0,27
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Tabla 3.6;;;;;
;;N° medida;Prototipo [dB];Decibel X [dB];Error [%]
;Ambiente ruidoso;1;61,58;58,1;5,99
;;2;60,73;57;6,54
;;3;61,77;58;6,50
;;4;61,93;59,4;4,26
;;5;62,04;58,2;6,60
;;6;61,69;63,7;3,16
;;7;85,73;64,3;33,33
;;8;62,76;61;2,89
;;9;61,48;58,3;5,45
;;10;62,12;60;3,53
;;;;Error promedio;7,82
;;;;;
;;;;;
;;;;;
Tabla 3.7;;;;;
;;N° medida;Prototipo [dB];Luxometro[Lux];Error [%]
;Oficina pequeña;1;208,33;211;1,27
;;2;209,17;211;0,87
;;3;209,17;211;0,87
;;4;209,17;211;0,87
;;5;209,17;211;0,87
;;6;208,33;211;1,27
;;7;209,17;211;0,87
;;8;209,17;211;0,87
;;9;209,17;211;0,87
;;10;209,17;211;0,87
;;;;Error promedio;0,95
;;;;;
;;;;;
;;;;;
;;;;;
Tabla 3.8;;;;;
;;N° medida;Prototipo [dB];Decibel X [dB];Error [%]
;Ambiente ruidoso;1;46,67;43,8;6,55
;;2;47,52;43,1;10,26
;;3;45,74;44;3,95
;;4;44,65;48,2;7,37
;;5;23,27;24,6;5,41
;;6;46,95;46,8;0,32
;;7;23,35;24,9;6,22
;;8;45,67;43;6,21
;;9;47,71;44,7;6,73
;;10;45,48;43,6;4,31
;;;;Error promedio;5,73
;;;;;
;;;;;
;;;;;
Tabla 3.9;;;;;
;;N° medida;Prototipo [dB];Luxometro[Lux];Error [%]
;Aula;1;218,33;215;1,55
;;2;218,33;215;1,55
;;3;217,5;215;1,16
;;4;216,67;215;0,78
;;5;217,5;217;0,23
;;6;217,5;217;0,23
;;7;218,33;215;1,55
;;8;220;215;2,33
;;9;219,17;215;1,94
;;10;217,5;215;1,16
;;;;Error promedio;1,25
